"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1990 <= Year >= 2007""]"																																						
	1991	6	20	5	18	52.5			"INDONESIA:  MINAHASSA:  GORONTALO, MAMADO"	1.196	122.787	31	7.5	6								3			1500	4								3			1500	4
	1991	6	28	14	43	54.5			"CALIFORNIA:  ARCADIA, GLENDALE, LOS ANGELES"	34.262	-118.002	11	5.1	7	2	1			104	3	33.5	4					2	1			104	3	33.5	4				
	1991	7	4	11	43	10.4			"INDONESIA:  TIMOR:  KALABAHI, DILI"	-8.099	124.681	29	6.5		28	1			181	3	7.7	3	1150	4			28	1			181	3	7.7	3	1150	4		
	1991	7	12	10	42	21.2			"ROMANIA:  BANLOC, DETA, TIMISOARA"	45.364	21.057	11	5.6	8	2	1			30	2		1				2	2	1			30	1		1				2
	1991	7	18	11	56	30.6			"ROMANIA:  ORSAVA"	44.888	22.407	12	5.6	8								2			615	3								2			615	3
	1991	7	23	19	44	50.2			"PERU:  MACA, CHIVAY, YANQUE"	-15.679	-71.574	5	4.7	5	92	2			30	1		2		3			92	2			30	1		2		3		
	1991	7	24	9	45	41.8			"IRAQ:  ARBIL,  DIBS"	36.52	44.066	26	5.1	8	20	1				3		2	100	2	100	2	20	1				3		2	100	2		
	1991	8	9	9	33	49.6			"COSTA RICA:  CARTAGO"	9.737	-84.054	5	4.7									1			30	1								1			30	1
	1991	8	17	6	18	34			"VENEZUELA:  BARQUISIMETO"	10.045	-69.948	10	5.2	5								2			100	2								2			100	2
	1991	8	17	19	29	40			"CALIFORNIA:  HONEYDEW, WHITETHORN, PETROLIA"	40.235	-124.348	12	6.2	7								2												2				
	1991	9	8	13	50	30.8			"NEW ZEALAND:  WELLINGTON, WANGANUI"	-40.25	175.053	88	5.6									2				3								2				3
	1991	9	18	9	48	13.1			"GUATEMALA:  GUATEMALA CITY, PACHUTA, SOLOLA"	14.646	-90.986	5	6.2	6	25	1			200	3		3					25	1			200	3		3				
	1991	10	14	15	58	12.7	2205		"SOLOMON ISLANDS"	-9.094	158.442	23	7.2																									
