,Type,Year,Mo,Country,Latitude,Longitude,Total Deaths,Total Death Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Mag,Maximum Water Height (m)
113,EQ,1992.0,8.0,Pakistan,29.087,66.74,4.0,1.0,200.0,3.0,,2.0,5.5,
114,EQ,1992.0,9.0,Costa Rica,11.727,-87.386,170.0,3.0,489.0,3.0,30.0,4.0,7.7,
115,EQ,1992.0,9.0,Iran,29.134,52.187,1.0,1.0,11.0,1.0,,2.0,4.7,
116,EQ,1992.0,9.0,CONGO:  KABALO,-6.087,26.651,8.0,1.0,37.0,1.0,,1.0,7.0,
117,EQ,1992.0,10.0,Egypt,29.778,31.144,545.0,3.0,6512.0,4.0,1200.0,4.0,5.3,
118,EQ,1992.0,10.0,Colombia,6.845,-76.806,,,20.0,1.0,,2.0,7.0,
119,EQ,1992.0,10.0,Colombia,7.075,-76.862,11.0,1.0,115.0,2.0,,2.0,7.4,
120,EQ,1992.0,12.0,Indonesia,-8.48,121.896,2500.0,4.0,2103.0,4.0,100.0,4.0,7.8,
121,EQ,1993.0,1.0,Japan,43.3,143.691,2.0,1.0,,,358.0,4.0,7.6,
122,EQ,1993.0,1.0,China,23.027,101.062,,,66.0,2.0,,3.0,5.6,
123,EQ,1993.0,1.0,Iran,32.104,60.088,,,,,,,5.1,
124,EQ,1993.0,2.0,Japan,37.634,137.245,,,,,,,6.3,
125,EQ,1993.0,3.0,FUTUNA ISLAND,-14.385,-178.252,5.0,1.0,20.0,1.0,,1.0,6.4,
126,EQ,1993.0,3.0,China,29.084,87.333,2.0,1.0,3.0,1.0,,1.0,6.2,
127,EQ,1993.0,3.0,United States,45.035,-122.607,,,,,28.4,4.0,5.6,
128,EQ,1993.0,3.0,Iran,30.692,50.886,,,,,,,5.1,
129,EQ,1993.0,4.0,Peru,-11.652,-76.53,6.0,1.0,,,,1.0,6.3,
130,EQ,1993.0,6.0,Russia,51.218,157.829,,,,,,,7.5,
131,EQ,1993.0,6.0,KERMADEC ISLANDS,-28.886,-176.819,,,,,,,6.6,
132,EQ,1993.0,6.0,Iran,30.149,50.814,24.0,1.0,49.0,1.0,,,5.4,
133,EQ,1993.0,7.0,Costa Rica,9.821,-83.622,2.0,1.0,9.0,1.0,,1.0,5.8,
134,EQ,1993.0,7.0,Japan,42.851,139.197,231.0,3.0,233.0,3.0,1207.0,4.0,7.7,
135,EQ,1993.0,7.0,Greece,38.224,21.756,,,,,,,5.6,
136,EQ,1993.0,8.0,Sudan,15.385,31.69,2.0,1.0,9.0,1.0,,1.0,5.5,
137,EQ,1993.0,8.0,Japan,41.985,139.839,,,,,,,6.3,
138,EQ,1993.0,8.0,Guam,12.982,144.801,,,48.0,1.0,250.0,4.0,7.8,
139,EQ,1993.0,9.0,Guatemala,14.717,-92.645,1.0,1.0,3.0,1.0,,2.0,7.2,
140,EQ,1993.0,9.0,United States,42.314,-122.012,2.0,1.0,,,7.5,3.0,6.0,
141,EQ,1993.0,9.0,India,18.066,76.451,11000.0,4.0,30000.0,4.0,300.0,4.0,6.2,
142,EQ,1993.0,10.0,Guinea,-5.889,146.02,60.0,2.0,200.0,3.0,5.0,2.0,6.9,
143,EQ,1993.0,10.0,India,28.723,82.28,,,,,,,5.1,
144,EQ,1993.0,11.0,India,18.12,76.533,,,25.0,1.0,,1.0,4.6,
145,EQ,1993.0,11.0,Russia,51.934,158.647,,,,,,1.0,7.0,
146,EQ,1993.0,11.0,China,39.263,75.533,,,4.0,1.0,,1.0,5.6,
147,EQ,1994.0,1.0,China,36.028,100.104,,,5.0,1.0,,1.0,5.7,
148,EQ,1994.0,1.0,Canada,40.33,-76.037,,,,,,1.0,4.6,
149,EQ,1994.0,1.0,United States,34.213,-118.537,60.0,2.0,7000.0,4.0,40000.0,4.0,6.7,
150,EQ,1994.0,1.0,Indonesia,1.015,127.733,9.0,1.0,300.0,3.0,,2.0,7.0,
151,EQ,1994.0,2.0,United States,42.762,-110.976,,,,,,1.0,5.8,
152,EQ,1994.0,2.0,Uganda,0.593,30.037,7.0,1.0,,2.0,70.0,4.0,6.2,
153,EQ,1994.0,2.0,Indonesia,-4.967,104.302,207.0,3.0,2000.0,4.0,170.476,4.0,6.9,
154,EQ,1994.0,2.0,Iran,30.853,60.596,6.0,1.0,,3.0,1.4,2.0,6.1,
155,EQ,1994.0,3.0,Iran,29.096,52.617,2.0,1.0,50.0,1.0,,1.0,6.1,
156,EQ,1994.0,3.0,Haiti,19.803,-72.799,4.0,1.0,,,,1.0,5.4,
157,EQ,1994.0,3.0,Fiji,-18.039,-178.413,,,,,,,7.6,
158,EQ,1994.0,4.0,Japan,40.608,143.683,,,,,,,6.4,
159,EQ,1994.0,5.0,Afghanistan,36.901,67.163,160.0,3.0,330.0,3.0,,,6.1,
160,EQ,1994.0,5.0,Taiwan,23.959,122.448,,,,,,,6.5,
161,EQ,1994.0,6.0,Indonesia,-10.477,112.835,238.0,3.0,423.0,3.0,2.2,2.0,7.8,
162,EQ,1994.0,6.0,Indonesia,-10.362,112.892,,,,,,,6.6,
163,EQ,1994.0,6.0,Indonesia,-10.777,113.366,,,,,,,6.5,
164,EQ,1994.0,6.0,Taiwan,24.511,121.905,1.0,1.0,2.0,1.0,,2.0,6.4,
165,EQ,1994.0,6.0,Indonesia,-10.341,113.369,,,,,,,6.1,
166,EQ,1994.0,6.0,Colombia,2.917,-76.057,650.0,3.0,,,2.4,2.0,6.8,
167,EQ,1994.0,6.0,Bolivia,-13.841,-67.553,5.0,1.0,,3.0,,2.0,8.2,
